code,long
C,City / Cité
CC,Chartered community
CG,Community government
CN,Crown colony / Colonie de la couronne
COM,Community
CT,Canton (municipalité de)
CU,Cantons unis (municipalité de)
CV,City / Ville
CY,City
DM,District municipality
HAM,Hamlet
ID,Improvement district
IGD,Indian government district
IM,Island municipality
IRI,Indian reserve / Réserve indienne
LGD,Local government district
LOT,Township and royalty
M,Municipality / Municipalité
MD,Municipal district
MÉ,Municipalité
MU,Municipality
NH,Northern hamlet
NL,Nisga'a land
NO,Unorganized / Non organisé
NV,Northern village
P,Parish / Paroisse (municipalité de)
PE,Paroisse (municipalité de)
RCR,Rural community / Communauté rurale
RDA,Regional district electoral area
RG,Region
RGM,Regional municipality
RM,Rural municipality
RV,Resort village
S-É,Indian settlement / Établissement indien
SA,Special area
SC,Subdivision of county municipality / Subdivision municipalité de comté
SÉ,Settlement / Établissement
SET,Settlement
SG,Self-government / Autonomie gouvernementale
SM,Specialized municipality
SNO,Subdivision of unorganized / Subdivision non organisée
SV,Summer village
T,Town
TC,Terres réservées aux Cris
TI,Terre inuite
TK,Terres réservées aux Naskapis
TL,Teslin land
TP,Township
TV,Town / Ville
V,Ville
VC,Village cri
VK,Village naskapi
VL,Village
VN,Village nordique
